,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,name
20630,120646,Ismar,Tahirovic,R,19900710,BEL,,,Ismar Tahirovic
20631,120647,Stefan,Dmitrovic,U,19891212,CAN,,,Stefan Dmitrovic
20632,120648,Jake,Mak,R,19890802,NED,,,Jake Mak
20633,120649,Wouter,Koning,U,19770710,NED,,,Wouter Koning
20634,120650,Artem,Vlasenko,R,19861214,RUS,,,Artem Vlasenko
20635,120651,Sun Liang,Lie,U,19850218,AUT,,,Sun Liang Lie
20636,120652,David,Simson,R,19860827,AUT,,,David Simson
20637,120653,Constantin Alexandru,Stohor,U,19890324,ROU,,,Constantin Alexandru Stohor
20638,120654,Razvan Petru,Copil,R,19890715,ROU,,,Razvan Petru Copil
20639,120655,Angel,Ruiz Cotorro,U,19920101,ESP,,,Angel Ruiz Cotorro
20640,120656,Gabriel,Reina,U,19770701,ESP,,,Gabriel Reina
20641,120657,Diego,Estrada Lumbreras,U,19920514,ESP,,,Diego Estrada Lumbreras
20642,120658,Harry,Skinner,R,19881105,GBR,,,Harry Skinner
20643,120659,Matthew,Leahy,L,19860322,GBR,,,Matthew Leahy
20644,120660,Adam,Cizek,R,19900501,SVK,,,Adam Cizek
20645,120661,Tomas,Toman,R,19890905,CZE,,,Tomas Toman
20646,120662,Petar,Kaucic,R,19910815,CRO,,,Petar Kaucic
20647,120663,Vanja,Blazun,R,19900313,CRO,,,Vanja Blazun
20648,120664,Gregor,Repina,R,19870414,SLO,,,Gregor Repina
20649,120665,Marko,Baralic,L,19881002,SRB,,,Marko Baralic
20650,120666,Remi,Groenendaal,R,19890414,NED,,,Remi Groenendaal
20651,120667,Oliver,Diserens,U,19811103,SUI,,,Oliver Diserens
20652,120668,Julien,Schindler,R,19891013,SUI,,,Julien Schindler
20653,120669,Ian,Samuels,R,19750925,GBR,,,Ian Samuels
20654,120670,Marco,Mokrzycki,R,19881221,GER,,,Marco Mokrzycki
20655,120671,Adrian,Porowski,U,19890315,POL,,,Adrian Porowski
20656,120672,Dino,Salopek,R,19880509,CRO,,,Dino Salopek
20657,120673,Luka,Zaninovic,R,19870620,CRO,,,Luka Zaninovic
20658,120674,Igor,Ogrizek,U,19880406,CRO,,,Igor Ogrizek
20659,120675,Germano,Giacalone,U,19890211,ITA,,,Germano Giacalone
20660,120676,Alain,Zysset,U,19840907,SUI,,,Alain Zysset
20661,120677,Yannic,Wymann,U,19880129,SUI,,,Yannic Wymann
20662,120678,Irakli,Dshandshgava,R,19890928,AUT,,,Irakli Dshandshgava
20663,120679,Pavel,Kunc,U,19780725,CZE,,,Pavel Kunc
20664,120680,Nicolas,Bilicki,U,19850823,FRA,,,Nicolas Bilicki
20665,120681,Aurelien,Defresne,U,19830818,FRA,,,Aurelien Defresne
20666,120682,Jens,Gerlach,U,19730501,GER,,,Jens Gerlach
20667,120683,Emir,Aliti,R,19910328,CRO,,,Emir Aliti
20668,120684,Matthew,Curic,U,19891103,AUS,,,Matthew Curic
20669,120685,Allen,Perel,L,19910105,AUS,,,Allen Perel
20670,120686,Andrey,Veykut,U,19891220,RUS,,,Andrey Veykut
20671,120687,Andrei,Papazian,U,19880106,RUS,,,Andrei Papazian
20672,120688,Araik,Arutunyan,U,19920521,RUS,,,Araik Arutunyan
20673,120689,Nikita,Gostev,U,19870830,RUS,,,Nikita Gostev
20674,120690,Michele,Bruno,R,19890114,ITA,,,Michele Bruno
20675,120691,Mario,Ziulu,U,19930219,ITA,,,Mario Ziulu
20676,120692,Simone,Muresu,U,19871122,ITA,,,Simone Muresu
